Адрес,Метро,Время до метро,Цена,Цена за квадрат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Год постройки,Тип жилья,Высота потолков,Санузел,Вид из окон,Ремонт,Мусоропровод,Количество лифтов,Тип дома,Тип перекрытий,Парковка,Отопление,Балкон/лоджия,Отделка,Этажность здания,Кол-во комнат
"Москва, ЦАО, р-н Мещанский, пер. Печатников, 3С1",Трубная,3,73000000.0,848837.0,86.0,56.0,10.0,5,1917,Вторичка,3.0,2,Во двор,Дизайнерский,Нет,4,Кирпичный,Железобетонные,Подземная,Центральное,1,Неизвестно,6,3
"Москва, ЦАО, р-н Басманный, Мясницкая ул., 22С1",Чистые пруды,6,80000000.0,421053.0,190.0,112.1,20.0,2,1917,Вторичка,3.7,2,На улицу и двор,Евроремонт,Да,1,Монолитный,Нет информации,Открытая,Центральное,1,Неизвестно,5,5
"Москва, ЦАО, р-н Хамовники, Гоголевский бул., 8",Кропоткинская,1,27000000.0,771429.0,35.0,20.65,5.95,5,1931,Вторичка,2.87,1,Во двор,Дизайнерский,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,8,2
"Москва, ЦАО, р-н Басманный, ул. Солянка, 1/2С2",Китай-город,10,125000000.0,520833.0,240.0,190.0,20.0,5,1914,Вторичка,3.2,3,Во двор,Дизайнерский,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,6,5
"Москва, ЦАО, р-н Пресненский, Никитский бул., 12",Арбатская,5,93000000.0,1430769.0,65.0,38.35,11.05,4,1914,Вторичка,4.0,1,Во двор,Дизайнерский,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,7,3
"Москва, ЦАО, р-н Хамовники, 2-й Обыденский пер., 12А",Кропоткинская,3,125000000.0,625000.0,200.0,155.0,25.0,7,2024,Вторичка,2.87,2,На улицу и двор,Евроремонт,Нет,1,Кирпичный,Железобетонные,Открытая,Центральное,1,Неизвестно,7,5
"Москва, ЦАО, р-н Пресненский, Никитский бул., 12",Арбатская,5,86300000.0,1299699.0,66.4,39.176,11.288000000000002,5,1914,Вторичка,2.87,2,На улицу и двор,Дизайнерский,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,7,3
"Москва, ЦАО, р-н Пресненский, Никитский бул., 12",Арбатская,5,90000000.0,1355422.0,66.4,39.176,11.288000000000002,5,1914,Вторичка,2.87,1,Во двор,Дизайнерский,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,7,3
"Москва, ЦАО, р-н Тверской, Тверская ул., 4",Охотный ряд,2,78350000.0,895429.0,87.5,75.5,7.0,7,1938,Вторичка,3.2,2,На улицу и двор,Дизайнерский,Да,1,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,8,3
"Москва, ЦАО, р-н Пресненский, Хлыновский туп., 4",Арбатская,9,199000000.0,1353741.0,147.0,63.0,30.0,4,2007,Вторичка,3.3,2,Во двор,Евроремонт,Да,3,Монолитный,Нет информации,Подземная,Центральное,2,Неизвестно,7,4
