Vremja_do_metro,Obschaja_ploschad,Zhilaja_ploschad,Ploschad_kuhni,Etazh,God_postrojki,Tip_zhilja,Vysota_potolkov,Sanuzel,Vid_iz_okon,Remont,Musoroprovod,Kolichestvo_liftov,Tip_doma,Tip_perekrytij,Parkovka,Otoplenie,Balkonlodzhija,Otdelka,Etazhnost_zdanija,Kolvo_komnat,shirota_doma,dolgota_doma,Rasstojanie_do_tsentra,Rasstojanie_do_metro,Okrug,Tsena_za_kvadrat_log
9,73.7,53.8,9.4,7,1957,Вторичка,2.9,1,На улицу и двор,Евроремонт,Да,1,Монолитный,Железобетонные,Открытая,Центральное,1,Неизвестно,7,3,55.717847,37.603172,4.135164002156184,0.31825391317735674,ЮАО,13.012014886902037
4,73.4,44.8,12.0,14,1987,Вторичка,2.9,1,Во двор,Евроремонт,Да,2,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,14,3,55.782258,37.665093,4.22288437761948,0.28079602115637786,ЦАО,12.811712871776876
7,100.6,64.7,10.0,20,1987,Вторичка,2.64,1,Во двор,Дизайнерский,Да,6,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,22,4,55.627366,37.743687,16.03168373620453,0.6903884527194771,ЮАО,12.382413855645092
15,121.1,71.449,20.587,6,2024,Вторичка,2.87,2,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,14,4,55.698756,37.632404,6.147277455888459,1.0466962162170264,ЮАО,13.013748683759205
10,30.2,18.0,6.0,4,1971,Вторичка,2.65,1,На улицу,Косметический,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,1,55.67755,37.741154,11.343808504312399,11.670148934950006,ЮВАО,12.65896190587307
22,58.0,34.22,12.0,18,2024,Новостройка,2.87,2,Во двор,Косметический,Да,4,Панельный,Железобетонные,Наземная,Центральное,1,Без отделки,35,2,55.809889,37.624723,6.27193263494296,0.908802221431107,СВАО,12.977936270049232
14,45.0,20.0,12.0,12,1975,Вторичка,2.48,1,Во двор,Дизайнерский,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,16,1,55.784288,37.574893,4.479248068451747,0.8946464655732954,САО,12.948009990259552
4,76.2,50.3,9.2,2,1958,Вторичка,2.87,1,Во двор,Косметический,Да,0,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,3,55.845274,37.586877,10.429695752365761,0.3729894618002126,СВАО,12.399919200328728
7,37.5,25.0,7.0,2,1972,Вторичка,2.75,1,Во двор,Без ремонта,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,14,2,55.801966,37.550962,6.95241779230822,1.1374178080802375,САО,12.976180867226248
6,83.0,60.0,23.0,11,2019,Вторичка,3.1,2,На улицу и двор,Дизайнерский,Да,2,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,15,3,55.78525,37.560404,5.186589491870122,0.5174924287629876,САО,13.24681744549475
13,19.0,11.209999999999999,3.2300000000000004,8,2022,Вторичка,2.5,1,Во двор,Евроремонт,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,14,1,55.543801,37.457007,25.538396532622187,1.9547703080254666,НАО,12.816837717484152
2,79.4,54.0,8.0,2,1955,Вторичка,2.6,1,На улицу и двор,Косметический,Да,0,Монолитный,Железобетонные,Открытая,Центральное,1,Неизвестно,5,3,55.745625,37.684039,4.054906326649313,0.1880721195350811,ЦАО,12.647815036583903
14,101.0,59.589999999999996,17.17,38,2024,Новостройка,2.87,2,Во двор,Косметический,Да,4,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,52,4,55.743654,37.508131,7.175669196754595,0.6450894664642427,ЗАО,13.151632817396306
11,46.5,27.435,7.905,3,2022,Вторичка,3.25,1,Во двор,Без ремонта,Да,3,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,20,1,55.808624,37.6486,6.366322621311231,0.6251103586321122,СВАО,13.21473652106474
7,38.3,18.9,8.5,6,1989,Вторичка,2.64,1,На улицу,Косметический,Да,2,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,1,55.701851,37.686572,7.08146210837047,0.5091567706682967,ЮВАО,12.585973761507065
3,40.1,17.0,9.3,23,2014,Вторичка,2.87,1,Во двор,Без ремонта,Да,4,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,24,1,55.785372,37.479825,9.542690413224735,1.1259966658038052,СЗАО,12.756021862348826
16,54.3,31.3,8.0,31,2018,Вторичка,2.87,1,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Открытая,Индивидуальный тепловой пункт,1,Неизвестно,31,2,55.557765,37.555023,22.195213287839557,1.0819810332929662,ЮЗАО,12.495135014933672
13,41.7,24.603,10.0,16,2001,Вторичка,2.5,1,Во двор,Евроремонт,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,22,1,55.662704,37.76769,13.68938682468379,1.1198293595184061,ЮВАО,12.43638642917862
2,146.5,86.435,24.0,4,2008,Вторичка,3.0,2,Во двор,Дизайнерский,Да,4,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,34,3,55.788576,37.678685,5.316174695589664,0.17609960097066207,ВАО,12.922828925062293
8,44.9,26.490999999999996,6.0,4,1967,Вторичка,2.64,1,Во двор,Дизайнерский,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,9,2,55.736022,37.528819,6.112787417658727,0.586770610260259,ЗАО,13.026037481935452
5,80.0,53.0,9.0,4,1938,Вторичка,2.7,1,На улицу и двор,Косметический,Да,1,Кирпичный,Нет информации,Наземная,Центральное,2,Неизвестно,7,3,55.734876,37.660593,3.2430063485476732,0.3729098846021432,ЮАО,13.09704556942004
9,72.6,45.0,10.0,11,1992,Вторичка,2.87,1,На улицу и двор,Евроремонт,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,3,55.567046,37.568039,21.035640563467112,0.6564657983283199,ЮЗАО,12.4374462369644
2,39.0,19.0,9.0,6,1979,Вторичка,2.64,1,Во двор,Косметический,Да,2,Блочный,Железобетонные,Наземная,Центральное,1,Неизвестно,16,1,55.774532,37.54347,5.397962624808646,0.18364578608714707,САО,12.859998112936339
13,46.0,29.4,6.5,5,1978,Вторичка,2.64,1,Во двор,Дизайнерский,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,2,55.682377,37.748664,11.2788515980421,0.990442505827064,ЮВАО,12.589557958030278
6,218.51,128.9209,37.1467,50,2024,Новостройка,2.87,3,Во двор,Косметический,Да,4,Монолитный,Железобетонные,Наземная,Центральное,1,Черновая,85,5,55.753737,37.558724,3.912228783621125,1.1560134159859954,ЦАО,13.437423721127217
9,73.0,44.0,10.2,10,1975,Вторичка,2.64,1,На улицу и двор,Без ремонта,Да,2,Панельный,Железобетонные,Наземная,Центральное,2,Неизвестно,16,3,55.615065,37.705338,16.30956616300314,0.6774469833046046,ЮАО,12.4428232002506
15,38.0,12.0,16.0,6,2023,Вторичка,2.7,1,На улицу и двор,Косметический,Да,3,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,21,2,55.794188,37.652795,4.939615974665458,1.1471621464418722,ЦАО,12.695621516009961
6,36.0,20.0,10.0,2,1969,Вторичка,2.64,1,Во двор,Евроремонт,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,12,1,55.747652,37.819262,12.465273347680455,0.4657265017790603,ВАО,12.682996027965073
5,106.2,54.4,24.2,2,2024,Новостройка,3.15,2,На улицу и двор,Косметический,Да,3,Монолитный,Железобетонные,Наземная,Центральное,1,Без отделки,23,3,55.690755,37.667474,7.580702687539829,0.40215561351288504,ЮАО,12.880987115829058
14,96.4,56.876,16.388,15,2024,Новостройка,3.0,1,Во двор,Косметический,Да,4,Монолитный,Железобетонные,Подземная,Центральное,1,Без отделки,35,3,55.687705,37.655347,7.646372313624726,0.8981407461155962,ЮАО,13.085263613447301
15,45.0,28.0,6.0,1,1970,Вторичка,2.64,1,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,12,2,55.780324,37.733024,7.633522983883828,0.9114769007624225,ВАО,12.589063761421997
4,81.0,50.0,15.0,2,1917,Вторичка,3.0,1,Во двор,Дизайнерский,Да,4,Кирпичный,Железобетонные,Подземная,Центральное,1,Неизвестно,5,3,55.767484,37.625073,1.5670470705953454,0.19503412509831827,ЦАО,13.90969737976547
4,67.8,40.001999999999995,11.526,6,2023,Вторичка,2.87,2,Во двор,Без ремонта,Да,2,Монолитно-кирпичный,Железобетонные,Подземная,Центральное,1,Неизвестно,16,3,55.779838,37.581011,3.8531984480922015,0.28251016330309575,САО,13.312520819966059
6,140.0,74.0,19.0,11,2011,Вторичка,2.87,2,Во двор,Евроремонт,Да,2,Кирпичный,Железобетонные,Подземная,Центральное,2,Неизвестно,19,4,55.694287,37.528621,8.793181797210568,0.3604470129911346,ЮЗАО,13.793841469913405
15,42.5,25.075,10.0,16,2006,Вторичка,2.65,1,Во двор,Косметический,Да,3,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,23,1,55.714703,37.747621,9.054892693947775,1.4360947418825611,ЮВАО,12.499618740942523
4,31.7,18.5,5.4,2,1962,Вторичка,2.6,1,Во двор,Косметический,Да,0,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,1,55.704834,37.760072,10.285209654813618,0.3887171563688223,ЮВАО,12.775106798238864
4,97.0,36.0,25.0,3,2012,Вторичка,2.87,2,На улицу и двор,Без ремонта,Да,2,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,18,3,55.798115,37.495626,9.300528920429924,0.2638817815177356,СЗАО,12.498895232866598
18,43.6,24.6,5.0,3,2024,Новостройка,2.87,1,На улицу,Косметический,Да,4,Монолитный,Железобетонные,Наземная,Центральное,1,Без отделки,30,2,55.548716,37.517374,23.725359189542417,1.1999779971908877,НАО,12.356598191062352
9,74.0,46.0,10.2,7,1979,Вторичка,2.87,1,Во двор,Косметический,Да,2,Блочный,Железобетонные,Наземная,Центральное,2,Неизвестно,16,3,55.8924,37.561688,15.895646226255371,1.2600826207889395,СВАО,12.429216196844383
